PUBCHEM_CID,y_prob_meta,y_pred_meta_0,y_prob_margin
2983841,0.4520674,0.5479326,0.0958651999999999
648222,0.5484195,0.4515805,0.0968389999999999
3135557,0.55187094,0.4481290599999999,0.1037418800000001
2192587,0.4166085,0.5833915000000001,0.166783
746147,0.4046441,0.5953558999999999,0.1907117999999999
2930652,0.60977316,0.3902268399999999,0.2195463200000001
790561,0.61046064,0.38953936,0.22092128
2931982,0.6118329,0.3881671,0.2236658
135477972,0.6263696,0.3736304,0.2527392
135497928,0.62810814,0.3718918599999999,0.2562162800000001
628864,0.64538443,0.35461557,0.29076886
1328059,0.6467632,0.3532368,0.2935263999999999
890213,0.32642013,0.67357987,0.34715974
1281095,0.3081433,0.6918567,0.3837134
3774420,0.30459616,0.69540384,0.39080768
3422200,0.30385232,0.6961476799999999,0.3922953599999999
6374709,0.2892017,0.7107983,0.4215966
1308940,0.2738471,0.7261529,0.4523058
1290134,0.27296418,0.72703582,0.45407164
5806576,0.2727499,0.7272501,0.4545002
5475291,0.22476926,0.77523074,0.5504614800000001
5459711,0.21961072,0.78038928,0.5607785599999999
5856349,0.20565379,0.79434621,0.5886924200000001
5921555,0.15092064,0.84907936,0.6981587199999999
2187558,0.13569532,0.86430468,0.7286093600000001
