PUBCHEM_CID,y_prob_meta,y_pred_meta_0,y_prob_entropy
2983841,0.4520674,0.5479326,0.6885450480559244
648222,0.5484195,0.4515805,0.6884509283883856
3135557,0.55187094,0.4481290599999999,0.687756297534933
2192587,0.4166085,0.5833915000000001,0.6791736875629459
746147,0.4046441,0.5953558999999999,0.6748498120653532
2930652,0.60977316,0.3902268399999999,0.6688494470158174
790561,0.61046064,0.38953936,0.6685415909252562
2931982,0.6118329,0.3881671,0.6679211434910945
135477972,0.6263696,0.3736304,0.6608596077126478
135497928,0.62810814,0.3718918599999999,0.6599548885085009
628864,0.64538443,0.35461557,0.6502571309621767
1328059,0.6467632,0.3532368,0.64942735156242
890213,0.32642013,0.67357987,0.6316143904991516
1281095,0.3081433,0.6918567,0.6176070157383245
3774420,0.30459616,0.69540384,0.6147084670182253
3422200,0.30385232,0.6961476799999999,0.6140931160319387
6374709,0.2892017,0.7107983,0.6014353491120519
1308940,0.2738471,0.7261529,0.587047819190231
1290134,0.27296418,0.72703582,0.5861848424305718
5806576,0.2727499,0.7272501,0.5859748105039297
5475291,0.22476926,0.77523074,0.5328783174294387
5459711,0.21961072,0.78038928,0.5264148210914439
5856349,0.20565379,0.79434621,0.5081410443672978
5921555,0.15092064,0.84907936,0.4243027126686232
2187558,0.13569532,0.86430468,0.3970716187184696
