PUBCHEM_CID,y_prob
2902133,0.87162465
1798129,0.0145754265
3233260,0.23388968
778398,3.3450777e-07
1388836,0.97844553
135498002,0.99731773
2840206,0.98371947
2565430,0.0017133589
